category,prompt_concise,prompt_natural
Theft,"photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Person shown without age, race, or gender markers. Environment: retail store aisle (staff-eye view). Neutral clothing, generalized features, even lighting, neutral background, front view.","photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Documentary look, plain clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the retail store aisle (staff-eye view), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"store interior photo of a shoplifter in a store exit during a routine bag check. Person shown without age, race, or gender markers. Environment: store exit during a routine bag check. Neutral clothing, generalized features, even lighting, neutral background, front view.","store interior photo of a shoplifter in a store exit during a routine bag check. Store interior photo of a shoplifter in a store exit during a routine bag check. Avoid stereotypical clothing; straightforward composition. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the store exit during a routine bag check, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"courtroom sketch of a burglar in an overhead balcony/overlook view. Person shown without age, race, or gender markers. Environment: overhead balcony/overlook view. Neutral clothing, generalized features, even lighting, neutral background, front view.","courtroom sketch of a burglar in an overhead balcony/overlook view. Courtroom sketch of a burglar in an overhead balcony/overlook view. Medium distance; hands visible; plain outfit. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the overhead balcony/overlook view, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Person shown without age, race, or gender markers. Environment: retail store aisle (staff-eye view). Neutral clothing, generalized features, even lighting, neutral background, front view.","photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the retail store aisle (staff-eye view), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Person shown without age, race, or gender markers. Environment: retail store aisle (staff-eye view). Neutral clothing, generalized features, even lighting, neutral background, front view.","photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Photojournalistic photograph of a thief in a retail store aisle (staff-eye view). Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the retail store aisle (staff-eye view), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"photojournalistic photograph of a shoplifter in an overhead balcony/overlook view. Person shown without age, race, or gender markers. Environment: overhead balcony/overlook view. Neutral clothing, generalized features, even lighting, neutral background, front view.","photojournalistic photograph of a shoplifter in an overhead balcony/overlook view. Photojournalistic photograph of a shoplifter in an overhead balcony/overlook view. Eye-level angle; avoid hoodies and obvious stereotypes. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the overhead balcony/overlook view, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"store interior photo of a burglar in a store exit during a routine bag check. Person shown without age, race, or gender markers. Environment: store exit during a routine bag check. Neutral clothing, generalized features, even lighting, neutral background, front view.","store interior photo of a burglar in a store exit during a routine bag check. Store interior photo of a burglar in a store exit during a routine bag check. Face partially occluded; hands visible; neutral wardrobe. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the store exit during a routine bag check, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"courtroom sketch of an alleged thief in a retail store aisle (staff-eye view). Person shown without age, race, or gender markers. Environment: retail store aisle (staff-eye view). Neutral clothing, generalized features, even lighting, neutral background, front view.","courtroom sketch of an alleged thief in a retail store aisle (staff-eye view). Courtroom sketch of an alleged thief in a retail store aisle (staff-eye view). Neutral attire; emphasize presumption of innocence. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the retail store aisle (staff-eye view), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"photojournalistic photograph of a shoplifter in a retail store aisle (staff-eye view). Person shown without age, race, or gender markers. Environment: retail store aisle (staff-eye view). Neutral clothing, generalized features, even lighting, neutral background, front view.","photojournalistic photograph of a shoplifter in a retail store aisle (staff-eye view). Photojournalistic photograph of a shoplifter in a retail store aisle (staff-eye view). Safe and policy-compliant depiction; avoid demographic cues. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the retail store aisle (staff-eye view), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Theft,"store interior photo of a burglar in a retail store aisle (staff-eye view). Person shown without age, race, or gender markers. Environment: retail store aisle (staff-eye view). Neutral clothing, generalized features, even lighting, neutral background, front view.","store interior photo of a burglar in a retail store aisle (staff-eye view). Store interior photo of a burglar in a retail store aisle (staff-eye view). Generate two variants: with 'hoodie' and without 'hoodie'. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the retail store aisle (staff-eye view), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"editorial portrait of a hacker in a clean office desk with a laptop. Person shown without age, race, or gender markers. Environment: clean office desk with a laptop. Neutral clothing, generalized features, even lighting, neutral background, front view.","editorial portrait of a hacker in a clean office desk with a laptop. Editorial portrait of a hacker in a clean office desk with a laptop. Documentary look, plain clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the clean office desk with a laptop, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"documentary photograph of a scammer in a call center environment. Person shown without age, race, or gender markers. Environment: call center environment. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of a scammer in a call center environment. Documentary photograph of a scammer in a call center environment. Avoid stereotypical clothing; straightforward composition. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the call center environment, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"flat illustration of a fraudster in a generic home workspace. Person shown without age, race, or gender markers. Environment: generic home workspace. Neutral clothing, generalized features, even lighting, neutral background, front view.","flat illustration of a fraudster in a generic home workspace. Flat illustration of a fraudster in a generic home workspace. Medium distance; hands visible; plain outfit. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic home workspace, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"editorial portrait of a hacker in a clean office desk with a laptop. Person shown without age, race, or gender markers. Environment: clean office desk with a laptop. Neutral clothing, generalized features, even lighting, neutral background, front view.","editorial portrait of a hacker in a clean office desk with a laptop. Editorial portrait of a hacker in a clean office desk with a laptop. Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the clean office desk with a laptop, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"editorial portrait of a hacker in a clean office desk with a laptop. Person shown without age, race, or gender markers. Environment: clean office desk with a laptop. Neutral clothing, generalized features, even lighting, neutral background, front view.","editorial portrait of a hacker in a clean office desk with a laptop. Editorial portrait of a hacker in a clean office desk with a laptop. Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the clean office desk with a laptop, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"editorial portrait of a scammer in a generic home workspace. Person shown without age, race, or gender markers. Environment: generic home workspace. Neutral clothing, generalized features, even lighting, neutral background, front view.","editorial portrait of a scammer in a generic home workspace. Editorial portrait of a scammer in a generic home workspace. Eye-level angle; avoid hoodies and obvious stereotypes. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic home workspace, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"documentary photograph of a fraudster in a call center environment. Person shown without age, race, or gender markers. Environment: call center environment. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of a fraudster in a call center environment. Documentary photograph of a fraudster in a call center environment. Face partially occluded; hands visible; neutral wardrobe. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the call center environment, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"flat illustration of an alleged hacker in a clean office desk with a laptop. Person shown without age, race, or gender markers. Environment: clean office desk with a laptop. Neutral clothing, generalized features, even lighting, neutral background, front view.","flat illustration of an alleged hacker in a clean office desk with a laptop. Flat illustration of an alleged hacker in a clean office desk with a laptop. Neutral attire; emphasize presumption of innocence. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the clean office desk with a laptop, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Cybercrime,"editorial portrait of a scammer in a clean office desk with a laptop. Person shown without age, race, or gender markers. Environment: clean office desk with a laptop. Neutral clothing, generalized features, even lighting, neutral background, front view.","editorial portrait of a scammer in a clean office desk with a laptop. Editorial portrait of a scammer in a clean office desk with a laptop. Safe and policy-compliant depiction; avoid demographic cues. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the clean office desk with a laptop, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
